epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,187.767,0.94655,1.08404,1.1329,1.07114,0.31686,0.62125,0.41365,0.2321,0.33982,0.57452,0.41554,0.23785,1.27514,1.59047,1.81755,1.32267,0.0003565,0.0003565,0.0003565
67,190.577,0.90501,1.10146,1.12194,1.03947,0.36225,0.66446,0.41142,0.23628,0.36508,0.6715,0.4168,0.23982,1.23746,1.61366,1.79865,1.28287,0.0003466,0.0003466,0.0003466
68,193.38,0.86989,0.99806,1.13528,1.0403,0.38416,0.48985,0.41211,0.24138,0.38342,0.49069,0.41527,0.23719,1.23065,1.62473,1.88358,1.27223,0.0003367,0.0003367,0.0003367
69,196.153,0.93245,1.07502,1.11438,1.05771,0.34872,0.62283,0.43004,0.25332,0.35044,0.63376,0.42868,0.24794,1.22417,1.72625,1.81797,1.26933,0.0003268,0.0003268,0.0003268
70,199.05,0.89561,1.0233,1.08586,1.04807,0.34857,0.71407,0.45422,0.26849,0.34598,0.71621,0.44926,0.26271,1.20498,1.81711,1.80335,1.26435,0.0003169,0.0003169,0.0003169
71,201.925,0.88033,1.01906,1.04394,1.04099,0.34615,0.65289,0.44576,0.26646,0.35101,0.66315,0.45096,0.26332,1.16176,1.8,1.79102,1.2511,0.000307,0.000307,0.000307
72,204.717,0.91099,0.96763,1.06078,1.06497,0.3786,0.6083,0.45467,0.26626,0.37894,0.60745,0.46131,0.26259,1.1754,1.73791,1.72165,1.24898,0.0002971,0.0002971,0.0002971
73,207.515,0.88615,1.06752,1.07616,1.03007,0.37616,0.60606,0.44392,0.25973,0.35765,0.68037,0.45864,0.26105,1.18818,1.74812,1.7144,1.24339,0.0002872,0.0002872,0.0002872
74,210.494,0.86523,1.04001,1.02174,1.02908,0.37462,0.64685,0.46913,0.27579,0.37264,0.6943,0.47375,0.27691,1.18965,1.69578,1.71,1.23477,0.0002773,0.0002773,0.0002773
75,213.349,0.86831,1.03267,1.03259,1.03099,0.41278,0.57713,0.46396,0.27454,0.41852,0.54337,0.46508,0.27674,1.2136,1.61375,1.70069,1.25254,0.0002674,0.0002674,0.0002674
76,216.156,0.8699,1.02292,1.08938,1.04522,0.36489,0.68683,0.46635,0.27899,0.36271,0.68472,0.46599,0.28376,1.20229,1.56263,1.67769,1.25587,0.0002575,0.0002575,0.0002575
